DMU,标准化GTFP,效率等级,GTFP排名,百分位排名,传统TFP,简单绿色-GTFP,绿色TFP_对数,综合GTFP,资本效率,劳动效率,能源效率,总投入,总污染
2527_2020,0.8223645399292898,A级,1746,9.04,0.00019204649568207256,3.312688757321117e-06,-3.341903509,-1.670950098,6.546127636358091,623.1595996849412,0.00019205218918480824,2060471577,56.97299705999857
2527_2021,0.8193842579444547,A级,1932,10,0.00015915772658325845,3.467603154322578e-06,-3.380902775,-1.690449654,7.428626032273179,96.19247915632536,0.00015916139994825862,2679236938,44.89848360400023
2527_2022,0.7697848127536117,C级,8928,46.23,0.00014270561620981508,6.345752107802619e-07,-4.029943963,-2.014971664,5.750239992484734,57.96923159273707,0.00014270950919390544,2170409355,223.88369182999816
2527_2023,0.8328798710002439,A级,1141,5.91,0.00019771108963432084,5.888984436382276e-06,-3.204305499,-1.602149805,6.5625868574024455,61.16744519682084,0.00019771768535753448,1713334908,32.57303651499941
2527_2024,0.7909591313440884,B级,4635,24,0.0002048043555131271,9.107123496665754e-07,-3.752863219,-1.876431154,7.8551904054991315,69.87302214359896,0.00020481029574516158,1639319977,223.88369183000137
2528_2019,0.7503959242993395,D级,13400,69.39,0.00011326200366489696,2.695723065669736e-07,-4.283660994,-2.141830362,35.28024155229628,94.56044706926964,0.0001132625029402625,3760310076,419.15444790000083
2528_2020,0.7602403786133461,C级,11257,58.29,0.00013649048600395173,2.830436635530338e-07,-4.154839321,-2.077419519,38.29533082944927,89.67580660638328,0.00013649118022516764,3560344829,481.22413550000283
2528_2021,0.7504621673233365,D级,13381,69.29,0.00010324077110792683,4.4390700910375345e-07,-4.282794332,-2.141396944,29.850687736349627,234.41420822681823,0.00010324117364452916,2842739216,231.57296901000097
2528_2022,0.7560895619385026,D级,12221,63.28,0.00010509283369059584,8.831267729775086e-07,-4.209156308,-2.104577713,22.109001353108223,86.12965809167045,0.00010509346147331151,1752214709,118.00084659000049
2528_2023,0.7550409658050301,D级,12437,64.4,9.928079666330973e-05,1.1999899143728116e-06,-4.222878253,-2.111438526,15.418160739735566,67.27524311175017,9.928158247225497e-05,1406751450,81.73469251999961
2529_2019,0.7166979046210251,E级,18095,93.7,0.000150709879464434,8.286610704535874e-07,-4.724624109,-2.36231164,0.36971137010491123,10.266863820754235,0.000150773554339475,144421529.5,180.8715561700005
2529_2021,0.7968776044165965,B级,3884,20.11,0.0004450457821554377,5.537236582528437e-06,-3.675420415,-1.837707439,0.6260563635189198,11.611247238225339,0.0004453794607153135,57058843.67,79.37326339999916
2529_2022,0.7782663457380082,B级,6903,35.74,0.000260601103798437,3.5022804365935974e-06,-3.918959937,-1.959478218,0.8870266713494832,17.405160138688785,0.0002606815929858902,139654780.11999997,73.40897627999945
2529_2023,0.7726729871783727,C级,8199,42.46,0.00022050047347869567,3.941164619229505e-06,-3.992153453,-1.996074756,0.8296361261489977,4.506521799032101,0.00022056988879286919,143595257.01000002,54.948049179999494
2529_2024,0.7794327711208104,B级,6695,34.67,0.00023366211563990218,8.275277548615478e-06,-3.903701204,-1.951846464,0.5782247758796892,2.651417849766549,0.00023377718773776257,80213571.33,27.236166261999998
2531_2019,0.7125042381926131,E级,18355,95.04,0.00011691427691347164,3.532321523152731e-08,-4.779500426,-2.389750195,1.1300140845313151,86.48861310334706,0.00011692653250488022,5103610590,3308.8424399999994
2531_2020,0.7324849878808097,E级,16403,84.94,0.00015598979508274017,4.260577519441827e-08,-4.51803811,-2.259019034,1.4579866267024462,117.74495734132616,0.00015600669289740027,5161491608,3660.235931999997
2531_2021,0.7757702214325666,B级,7481,38.74,0.00021620650929384016,1.795856044490598e-07,-3.951620176,-1.975809998,1.5258084652104502,117.73433775951388,0.00021623754717340637,3776969386,1202.9189327000017
2531_2022,0.776229203665597,B级,7382,38.22,0.00024332820846525218,1.8967571528131053e-07,-3.945614079,-1.972806945,0.9478447766405128,99.22041494625095,0.00024339128812706352,2769123408,1281.8643245999997
