DMU,标准化GTFP,效率等级,GTFP排名,百分位排名,传统TFP,绿色TFP_简单,绿色TFP_对数,综合GTFP,资本效率,劳动效率,能源效率,总投入,总污染
300962_2023,0.9022118808722036,A级,101,0.52,0.0015789748475041534,7.45646022139301e-05,-2.2971155096217535,-1.1485204725097697,0.8693382642704564,89.0838100258167,0.0015818760393548823,21834061.85,20.175929707999273
920017_2019,0.9021719181593948,A级,102,0.53,0.000811147852170922,9.784809617466566e-05,-2.297661734435599,-1.1487819431697122,1.1067013562522594,36.175366532347546,0.0008117610277224822,78581229.87,7.289868414001173
688578_2023,0.9018552953860952,A级,103,0.53,0.0007239729677450862,3.547770763206027e-05,-2.3017425967470633,-1.1508535595197156,60.55334882534547,114.53930550510132,0.0007239861998170223,278764906.0,19.406418944999068
688050_2022,0.901706870105919,A级,104,0.54,0.0006238541744236066,0.0001496427882737119,-2.3037990128804804,-1.1518246850461034,4.182504761368576,32.88858735527625,0.0006239590786318203,92889802.29,3.1689557839997375
920017_2020,0.9015847231359859,A级,105,0.54,0.0007426089071552914,0.00010931195330611357,-2.305357062373196,-1.152623875209945,0.8863217327634574,35.50397114074713,0.0007432471862911146,84240838.68,5.79348301699821
300962_2022,0.9014674375941071,A级,106,0.55,0.0016167290333195157,7.152598408114027e-05,-2.306854041230867,-1.153391257623393,2.0626163033290053,30.29017830188405,0.0016180836915588059,20852578.110000003,21.603379409000528
300485_2020,0.9009851897231065,A级,107,0.55,0.0007141749951503093,6.414593273434458e-05,-2.3131572176348674,-1.1565465358510665,2.630563596408451,132.15281159418706,0.0007143728016993924,153215288.61,10.133597409001101
688613_2021,0.9004017209913933,A级,108,0.56,0.0006989806001006069,0.0002980305251226721,-2.321026205234535,-1.160364087354706,1.1360075009371906,13.39745481838745,0.0006994474591786349,33772490.09,1.3453321739984723
688321_2019,0.9003095276507045,A级,109,0.56,0.0019107859126140292,0.00010554052265161767,-2.322040130178416,-1.1609672948278822,0.39073233727541845,9.863813881951753,0.001920549959639371,9095754.76,17.10475876500019
600104_2022,0.900229660425805,A级,110,0.57,0.0001581515837766522,7.032594604319222e-07,-2.322980413547083,-1.1614898551438113,626.1840192121091,15947.52329794258,0.0001581516252884598,455883849584.59,223.88369183000114
300485_2019,0.8999558041621165,A级,111,0.57,0.0007592803839789509,5.193436839400896e-05,-2.3266152470971644,-1.1632816563643853,3.4769495459450264,150.55657471553116,0.0007594500592447282,156846210.06,13.619998328998976
688520_2024,0.8999483116198435,A级,112,0.58,0.0005483111318695427,3.798165004841002e-05,-2.3266993397741382,-1.163330679062045,4.8749755126739736,142.605456356405,0.0005483749186181369,458263200.39,13.436211432999546
300841_2022,0.8990442234232702,A级,113,0.59,0.0022157910923795506,9.853053551422923e-06,-2.3385018479372235,-1.169245997441836,5.452287784815616,72.26397412587055,0.0022167599473435257,65291568.64,223.8836918300007
688356_2024,0.898916530799086,A级,114,0.59,0.00067439413693651,0.00030455548637051605,-2.340467500064157,-1.1700814722888933,2.8685214238978225,12.888582587967484,0.000674588031468986,33674199.22,1.2143555020021153
300962_2024,0.8984873589791358,A级,115,0.6,0.0013355182019430085,7.619897567650803e-05,-2.345855163381634,-1.1728894822029787,3.944330845795732,67.0116743925107,0.0013359971856119696,26844445.66,16.526720541001783
688321_2023,0.8984140355234642,A级,116,0.6,0.0014606214571214922,4.6150785761283226e-05,-2.3467846042903506,-1.1733692267522946,0.5153667150041119,29.722485408624834,0.0014648450184513888,35855299.15,30.648895945998795
300039_2019,0.8983751722372293,A级,117,0.61,0.0008535703328706696,3.4805017334242694e-05,-2.3472818108277576,-1.1736235029052116,4.421293760731708,26.906070724307416,0.0008537622441349193,166245957.17000002,23.524347151998327
1225_2024,0.8983043726258905,A级,118,0.61,0.0014243988139925957,9.914671050635041e-05,-2.3482726165018004,-1.174086734895647,1.1919604557739438,18.388008673019208,0.0014262136259830264,17608301.540000003,13.36657581299958
2985_2021,0.8981147858088682,A级,119,0.62,0.0005615969082979227,7.534743030583862e-05,-2.3507296968042755,-1.1753271746869849,4.954536362948218,29.252716688193512,0.0005616713567993728,201634418.97,6.453431434000497
688236_2021,0.8977423286693542,A级,120,0.62,0.0005584000174747928,7.63328964303721e-05,-2.3556045479704317,-1.1777641075370007,1.2883993444407729,62.89100573211902,0.0005586470986297449,198449048.41,6.315325905002478
600062_2023,0.8971090927581101,A级,121,0.63,0.0005157683664012931,8.950881441793421e-06,-2.363823508997495,-1.1819072790580265,2.0762996565009524,1143.415224832087,0.0005158967517227633,1981923044.51,56.62207548999958
2755_2023,0.8968338804586878,A级,122,0.63,0.0005356249363948463,5.954325088589033e-05,-2.3674754487819634,-1.1837079527655388,3.3225905859984546,28.044678628326633,0.0005357215302060201,269490740.8,7.995560814000259
688468_2021,0.8966229867428988,A级,123,0.64,0.0005880355002653487,0.00015966379452998035,-2.3703352628428758,-1.1850877995241729,0.5715315947296786,26.718193830872476,0.0005886541082927319,80058869.76,2.682960777998381
2038_2019,0.8964524446220488,A级,124,0.64,0.000702488152619411,2.901270910010698e-05,-2.372436276790536,-1.1862036320407179,4.239111745098194,328.9633160453271,0.0007026060859959665,288930660.59999996,23.213118042998694
688253_2023,0.8964258026575548,A级,125,0.65,0.0005796648415860934,0.0001589071492232876,-2.3729148012201113,-1.186377947035444,2.5541825989801685,27.129289614073365,0.0005798088162627952,82464563.78,2.647820991000981
603256_2021,0.8963613808619055,A级,126,0.65,0.0006971222740274282,7.331011612922741e-05,-2.3736722085890523,-1.1867994492364615,12.785918183112427,45.866034653799886,0.0006971708820059344,115927945.60000001,8.509223349000921
688098_2020,0.8959744179130537,A级,127,0.66,0.0008175011824448592,0.00013944338688710455,-2.3788020287221547,-1.1893312926676338,1.2305852553082754,19.167559619749216,0.0008180795395329864,41312772.11,4.862602601001242
920139_2019,0.895306041858446,A级,128,0.66,0.0009179085200160547,0.0002685090223730081,-2.3876772688480186,-1.1937043799128229,0.9224892711461274,8.279801929624954,0.000918924754792257,15893752.68,2.4185386179989448
858_2022,0.8951076010216034,A级,129,0.67,0.000381324255874219,1.6956509951945274e-06,-2.390007195290857,-1.195002749819931,13.922273456996209,2004.5702086720328,0.0003813347729873478,19397832569.14,223.8836918300012
688356_2022,0.8950569194497883,A级,130,0.67,0.0005742014113080497,0.00017794878692576065,-2.39084665407244,-1.1953343526427571,14.604967454771877,23.11033022701341,0.0005742382553418661,70916582.68,2.2267789690004856
300653_2024,0.8944168245855457,A级,131,0.68,0.0019081153037978182,3.913945852460169e-05,-2.3990839406079223,-1.199522400574699,0.21951678101351044,22.053755403763105,0.0019250147479783015,19035817.740000002,47.751701619997924
688253_2024,0.8942539929235583,A级,132,0.68,0.0005349884393414615,0.0001237609510050809,-2.4012993302630696,-1.2005877846560322,3.2048411585283927,35.26613031214328,0.0005350858792176476,116150026.88,3.322756333001076
688613_2022,0.8940242052432421,A级,133,0.69,0.0006098958557491678,0.00026047879840559014,-2.4044429822079563,-1.2020912517047753,0.8404332052895791,13.921971606128624,0.000610365532266152,40220824.16,1.3414413929989764
300485_2024,0.8937683021734428,A级,134,0.69,0.0005551740870925225,0.0001720374168211518,-2.4077032164410395,-1.203765589512109,0.6162935147401944,4.9206260586010755,0.0005557374121592612,75018232.89,2.227054264998372
300039_2021,0.8937264166816735,A级,135,0.7,0.0006556276625811371,5.208295729148362e-05,-2.408131361805862,-1.2040396394242854,4.0220746689470666,14.617856169477822,0.0006557639686846215,167866375.04999998,11.58814193299831
301033_2023,0.893378423548053,A级,136,0.7,0.0013518394133195865,9.315898524205187e-05,-2.412726175768313,-1.2063165083915355,0.19960538529807037,5.643355575653739,0.0013613855922342487,17078188.01,13.511099822000508
600104_2024,0.893044079278252,A级,137,0.71,0.00014811901347072488,6.586471978694483e-07,-2.417008808017971,-1.2085040746853866,317.53881756704504,21760.243153790878,0.00014811908357051216,414581522932.82,223.88369183000236
300039_2020,0.8928834426883482,A级,138,0.71,0.0007351383045918664,5.223628191461465e-05,-2.4191624304328863,-1.2095550970754858,3.0897823507773787,13.100690541047282,0.0007353545282851493,123515378.77,13.073327421000727
200596_2023,0.8927246149658133,A级,139,0.72,0.0006353871866190588,2.825403573061437e-06,-2.421191392077784,-1.2105942833371055,4.406730257440305,2120.788125654228,0.0006354790039500082,3187588139.41,223.8836918299993
688570_2023,0.8926228810441353,A级,140,0.72,0.0004868491334290339,3.682558201524204e-05,-2.422556654890979,-1.2112599146544818,2.835257921007178,125.20896430192259,0.00048693463952199245,453155156.19,12.220405644999007
688336_2021,0.8923393412821633,A级,141,0.73,0.000642843020334631,5.963549594274993e-05,-2.4262897845881506,-1.213115074546104,26.96704193099686,52.71322067536594,0.0006428661848601997,144484254.92999998,9.77953667900297
600211_2023,0.891699503200837,A级,142,0.74,0.001570252684749374,5.22518826839977e-06,-2.4346081087382245,-1.2173014417749781,0.6573547289180276,177.88469636775392,0.0015740265269195651,199606622.58,299.5159998499982
920017_2024,0.8916884341660298,A级,143,0.74,0.000507858599236587,0.0001137350564796241,-2.4348614645104103,-1.2173738647269654,1.7623091441309215,36.778781730985415,0.0005080120119532252,127602867.23,3.4652775580023345
2693_2019,0.8916866781923215,A级,144,0.75,0.0015633192050743638,4.748735641287041e-05,-2.434818195067302,-1.2173853538554444,0.5857100423642245,17.306480209684608,0.0015676450154312519,22173897.53,31.92074465000085
688236_2022,0.8913750917336247,A级,145,0.75,0.0004859378562102124,6.418473985855662e-05,-2.4389122230402145,-1.219424019150178,11.92217922297738,68.19547412031395,0.00048596112636565696,247275292.23,6.570925040997287
200596_2024,0.8910474791787582,A级,146,0.76,0.000576945425348217,2.5655280759228023e-06,-2.4431376481855867,-1.2215675413287554,2.985683399283732,2543.4658112187108,0.000577057065198953,4086682558.54,223.88369183000145
300653_2019,0.8908604693269199,A级,147,0.76,0.0026238806005531687,2.8452045938748754e-05,-2.445610691343799,-1.22279111964893,0.7772078723233438,16.635376706301038,0.002633185655830207,10663863.14,91.2211485299994
300841_2020,0.8907680322366417,A级,148,0.77,0.003170854298766937,5.9317805001174145e-06,-2.446797775185207,-1.2233959217023533,9.90100324969653,86.62519040866675,0.0031719862542795635,32755716.130000003,533.5535293999993
300067_2021,0.8906686244789795,A级,149,0.77,0.000620174404890974,5.13531420112003e-05,-2.448144020045677,-1.224046333451833,1.833641353540326,92.85088861429013,0.0006203883764540018,169629794.41,11.076659323000438
688278_2024,0.8906285477476117,A级,150,0.78,0.0018412954589279989,4.486863304723799e-06,-2.4486215844569172,-1.2243085487968062,558.6496077574822,159.8841227014666,0.0018413227333603734,152998706.88,409.3747589
300067_2019,0.890529280420311,A级,151,0.78,0.0007404839993360462,3.769971572876518e-05,-2.4499537825845326,-1.224958041434402,2.1798175009503398,103.54448259667562,0.0007407409263327205,151859200.47,18.64163336899989
688177_2023,0.8905229009650425,A级,152,0.79,0.0012559385715014387,2.972886528028992e-05,-2.450029291397403,-1.2249997812660613,2.4548494888593906,39.999696526672,0.0012566209342716544,56116968.519999996,41.246434140000375
920735_2021,0.8902653713714671,A级,153,0.79,0.0018478916778281841,2.4095570445611475e-05,-2.453393614888305,-1.2266847596589296,10.922678434164983,29.161443751417202,0.0018483214994240594,27805993.45,75.69009603000069
300204_2023,0.8899025353446663,A级,154,0.8,0.0005315029081945679,0.00017615604295776637,-2.4582936428671003,-1.2290587434120712,0.9161042137599964,90.14243240096748,0.000531814590685764,68518049.72,2.0172277459983246
300067_2023,0.8897647973260321,A级,155,0.8,0.0005952436084229677,6.779863665630578e-05,-2.4599876848324054,-1.2299599430978745,1.2741877378838389,68.44689667512104,0.0005955269909965644,135917850.65,7.7795807319994115
2985_2020,0.8894982865901362,A级,156,0.81,0.0005891145698328084,8.005003947320963e-05,-2.4634874183005397,-1.2317036841305333,6.07402953955615,16.494834799423103,0.0005891927581741019,116561363.08000001,6.359328847999535
2248_2024,0.889191094799468,A级,157,0.81,0.0017318415659839908,3.853314224322203e-05,-2.4674657260276103,-1.2337135964426835,5.515325514014128,48.94047916543933,0.0017324468690819432,19301042.27,43.94420583000204
920139_2023,0.889072824096308,A级,158,0.82,0.0006302752894011936,0.0001562530947835694,-2.469131100839076,-1.2344874238721464,5.314467223566935,17.90520014755857,0.0006303722386482082,50055845.74,3.033681877999049
