Stkcd,ShortName,Accper,Typrep,C001014000,Year
000553,安道麦A,2023-12-31,A,22723297000.0,2023
000553,安道麦A,2024-12-31,A,16805907000.0,2024
000559,万向钱潮,2019-12-31,A,7686523823.34,2019
000559,万向钱潮,2020-12-31,A,7362900494.23,2020
000559,万向钱潮,2021-12-31,A,9895345063.55,2021
000559,万向钱潮,2022-12-31,A,9732465508.1,2022
000559,万向钱潮,2023-12-31,A,9713337095.92,2023
000559,万向钱潮,2024-12-31,A,8147620936.83,2024
000561,烽火电子,2019-12-31,A,563481348.3,2019
000561,烽火电子,2020-12-31,A,608424321.96,2020
000561,烽火电子,2021-12-31,A,980900066.65,2021
000561,烽火电子,2022-12-31,A,684744533.67,2022
000561,烽火电子,2023-12-31,A,1042371663.83,2023
000561,烽火电子,2024-12-31,A,1122992304.84,2024
000565,渝三峡A,2019-12-31,A,132224458.92,2019
000565,渝三峡A,2020-12-31,A,137753673.88,2020
000565,渝三峡A,2021-12-31,A,145801468.92,2021
000565,渝三峡A,2022-12-31,A,74185556.88,2022
000565,渝三峡A,2023-12-31,A,131310580.69,2023
000565,渝三峡A,2024-12-31,A,94780659.9,2024
000566,海南海药,2019-12-31,A,780143834.44,2019
000566,海南海药,2020-12-31,A,1176909747.69,2020
000566,海南海药,2021-12-31,A,833154606.88,2021
000566,海南海药,2022-12-31,A,683250164.03,2022
000566,海南海药,2023-12-31,A,548275350.66,2023
000566,海南海药,2024-12-31,A,818918181.13,2024
000568,泸州老窖,2019-12-31,A,5306328780.97,2019
000568,泸州老窖,2020-12-31,A,3935832838.54,2020
000568,泸州老窖,2021-12-31,A,5071928013.73,2021
000568,泸州老窖,2022-12-31,A,5224385672.55,2022
000568,泸州老窖,2023-12-31,A,6584743337.24,2023
000568,泸州老窖,2024-12-31,A,5963558109.59,2024
000570,苏常柴A,2019-12-31,A,1824178697.91,2019
000570,苏常柴A,2020-12-31,A,1571967433.96,2020
000570,苏常柴A,2021-12-31,A,1648743526.28,2021
000570,苏常柴A,2022-12-31,A,1312012931.69,2022
000570,苏常柴A,2023-12-31,A,1533814952.73,2023
000570,苏常柴A,2024-12-31,A,1962599108.34,2024
000572,海马汽车,2021-12-31,A,1992607804.11,2021
000572,海马汽车,2022-12-31,A,2177318755.85,2022
000572,海马汽车,2023-12-31,A,2196002476.76,2023
000572,海马汽车,2024-12-31,A,1528193922.64,2024
000576,广东甘化,2019-12-31,A,439320681.09,2019
000576,甘化科工,2020-12-31,A,326840456.13,2020
000576,甘化科工,2021-12-31,A,347379836.23,2021
000576,甘化科工,2022-12-31,A,207978518.46,2022
000576,甘化科工,2023-12-31,A,187714962.97,2023
000576,甘化科工,2024-12-31,A,242581670.64,2024
000581,威孚高科,2019-12-31,A,5020827379.58,2019
000581,威孚高科,2020-12-31,A,8277296527.38,2020
000581,威孚高科,2021-12-31,A,12479791466.7,2021
000581,威孚高科,2022-12-31,A,10077477240.02,2022
000581,威孚高科,2023-12-31,A,8080288216.69,2023
000581,威孚高科,2024-12-31,A,7529154745.16,2024
000584,哈工智能,2019-12-31,A,1694952825.86,2019
000584,哈工智能,2020-12-31,A,1053972355.47,2020
000584,哈工智能,2021-12-31,A,1002486660.04,2021
000584,哈工智能,2022-12-31,A,1611261861.58,2022
000586,汇源通信,2019-12-31,A,350311263.66,2019
000586,汇源通信,2020-12-31,A,390418887.96,2020
000586,汇源通信,2021-12-31,A,326814192.61,2021
000586,汇源通信,2022-12-31,A,333425833.5,2022
000586,汇源通信,2023-12-31,A,357871767.51,2023
000586,汇源通信,2024-12-31,A,308183235.89,2024
000587,金洲慈航,2019-12-31,A,1871951305.43,2019
000589,贵州轮胎,2019-12-31,A,5359604445.71,2019
000589,贵州轮胎,2020-12-31,A,4892790048.31,2020
000589,贵州轮胎,2021-12-31,A,6863175958.65,2021
000589,贵州轮胎,2022-12-31,A,7600510911.65,2022
000589,贵州轮胎,2023-12-31,A,6569918206.75,2023
000589,贵州轮胎,2024-12-31,A,7934557337.71,2024
000590,启迪古汉,2019-12-31,A,92691726.05,2019
000590,启迪药业,2020-12-31,A,86102154.89,2020
000590,启迪药业,2021-12-31,A,144482089.07,2021
000590,启迪药业,2022-12-31,A,327860964.97,2022
000590,启迪药业,2023-12-31,A,171200687.16,2023
000590,启迪药业,2024-12-31,A,185794264.06,2024
000595,宝塔实业,2019-12-31,A,279347347.32,2019
000595,宝塔实业,2021-12-31,A,147992533.19,2021
000595,宝塔实业,2022-12-31,A,232776433.11,2022
000595,宝塔实业,2023-12-31,A,214810295.25,2023
000595,宝塔实业,2024-12-31,A,186553662.58,2024
000596,古井贡酒,2019-12-31,A,1593805653.82,2019
000596,古井贡酒,2020-12-31,A,2216094155.87,2020
000596,古井贡酒,2021-12-31,A,2476695652.35,2021
000596,古井贡酒,2022-12-31,A,3108670928.12,2022
000596,古井贡酒,2023-12-31,A,3187127580.32,2023
000596,古井贡酒,2024-12-31,A,4085891932.48,2024
000597,东北制药,2019-12-31,A,4835943257.88,2019
000597,东北制药,2020-12-31,A,4205710772.72,2020
000597,东北制药,2021-12-31,A,4640534859.36,2021
000597,东北制药,2022-12-31,A,4796026357.79,2022
000597,东北制药,2023-12-31,A,4777928713.16,2023
000597,东北制药,2024-12-31,A,3877759625.28,2024
000599,青岛双星,2019-12-31,A,3558456080.74,2019
000599,青岛双星,2020-12-31,A,3135846971.43,2020
000599,青岛双星,2021-12-31,A,2034854676.14,2021
000599,青岛双星,2022-12-31,A,2331542640.91,2022
000599,青岛双星,2023-12-31,A,2953175604.15,2023
000599,青岛双星,2024-12-31,A,3363479724.22,2024
000612,焦作万方,2019-12-31,A,4243547316.79,2019
000612,焦作万方,2020-12-31,A,4071955482.82,2020
000612,焦作万方,2021-12-31,A,4613905779.08,2021
000612,焦作万方,2022-12-31,A,6366024312.58,2022
000612,焦作万方,2023-12-31,A,5348011468.29,2023
000612,焦作万方,2024-12-31,A,5589109655.5,2024
000619,海螺型材,2019-12-31,A,1680436582.18,2019
000619,海螺型材,2020-12-31,A,2266292891.81,2020
000619,海螺型材,2021-12-31,A,2035025136.18,2021
000619,海螺新材,2022-12-31,A,2492435292.44,2022
000619,海螺新材,2023-12-31,A,3805111286.11,2023
000619,海螺新材,2024-12-31,A,4203183622.21,2024
000622,恒立实业,2019-12-31,A,487060758.71,2019
000622,恒立实业,2020-12-31,A,409361748.74,2020
000622,恒立实业,2021-12-31,A,305055850.63,2021
000622,恒立实业,2022-12-31,A,442397551.25,2022
000622,恒立实业,2023-12-31,A,147590965.14,2023
000623,吉林敖东,2019-12-31,A,590246172.59,2019
000623,吉林敖东,2020-12-31,A,588057996.74,2020
000623,吉林敖东,2021-12-31,A,809162549.63,2021
000623,吉林敖东,2022-12-31,A,1232621814.22,2022
000623,吉林敖东,2023-12-31,A,1286124469.59,2023
